ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,List3,List3.Cycle,List3.Sample,Procedure[Block],Running[Block],Trial,CardIMG1[Trial],CardIMG2[Trial],CardIMG3[Trial],CardIMG4[Trial],CardStim[Trial],Category,CorrectAnswer[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,FeedbackDisplay2.RTTime,List2,List2.Cycle,List2.Sample,List4,List4.Cycle,List4.Sample,PracticeList,PracticeList.Cycle,PracticeList.Sample,Procedure[Trial],Running[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,SubTrial,CardIMG1[SubTrial],CardIMG2[SubTrial],CardIMG3[SubTrial],CardIMG4[SubTrial],CardStim[SubTrial],ColorList,ColorList.Cycle,ColorList.Sample,ColorList2,ColorList2.Cycle,ColorList2.Sample,CorrectAnswer[SubTrial],NonPerseverativeError,NumberList,NumberList.Cycle,NumberList.Sample,NumberList1,NumberList1.Cycle,NumberList1.Sample,PerseverativeError,Procedure[SubTrial],Running[SubTrial],ShapeList,ShapeList.Cycle,ShapeList.Sample,ShapeList1,ShapeList1.Cycle,ShapeList1.Sample,Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,TrialType
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,1,Button1.png,Button2.png,Button3.png,Button4.png,Greencircle3.png,顏色,{button1},1.0,{button1},1.0,50.0,368796.0,0.0,{Button1},1561.0,370357.0,,,,,,,1.0,1.0,1.0,PracticeTrialProc,PracticeList,1.0,{button1},1.0,50.0,368796.0,0.0,{Button1},1561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,2,Button1.png,Button2.png,Button3.png,Button4.png,Redstar2.png,顏色,{button3},1.0,{button3},1.0,33.0,372995.0,0.0,{Button3},1625.0,374620.0,,,,,,,2.0,1.0,2.0,PracticeTrialProc,PracticeList,1.0,{button3},1.0,33.0,372995.0,0.0,{Button3},1625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,3,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle1.png,形狀,{button2},1.0,{button2},10.0,34.0,377194.0,0.0,{Button2},2106.0,379300.0,,,,,,,3.0,1.0,3.0,PracticeTrialProc,PracticeList,1.0,{button2},10.0,34.0,377194.0,0.0,{Button2},2106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,4,Button1.png,Button2.png,Button3.png,Button4.png,greenstar2.png,形狀,{Button4},1.0,{Button4},10.0,33.0,381876.0,0.0,{Button4},2592.0,384468.0,,,,,,,4.0,1.0,4.0,PracticeTrialProc,PracticeList,1.0,{Button4},10.0,33.0,381876.0,0.0,{Button4},2592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,5,Button1.png,Button2.png,Button3.png,Button4.png,BlueCross4.png,圖案數目,{Button2},0.0,{Button2},2.0,33.0,387041.0,0.0,{Button3},2427.0,389468.0,,,,,,,5.0,1.0,5.0,PracticeTrialProc,PracticeList,0.0,{Button2},2.0,33.0,387041.0,0.0,{Button3},2427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,6,Button1.png,Button2.png,Button3.png,Button4.png,yellowcircle2.png,圖案數目,{Button1},1.0,{Button1},10.0,33.0,392057.0,0.0,{Button1},1476.0,393533.0,,,,,,,6.0,1.0,6.0,PracticeTrialProc,PracticeList,1.0,{Button1},10.0,33.0,392057.0,0.0,{Button1},1476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,2,,,,1.0,1.0,1.0,BlockProc,List2,1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,ColorProc,List3,,,,,,,,,1.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,yellowcircle1.png,9.0,1.0,1.0,,,,{button2},0.0,,,,,,,0.0,TrialProc,ColorList,,,,,,,1.0,{button2},10.0,33.0,406070.0,0.0,{Button2},2519.0,Color
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,2,,,,1.0,1.0,1.0,BlockProc,List2,1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,ColorProc,List3,,,,,,,,,2.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,yellowstar3.png,10.0,1.0,2.0,,,,{button2},0.0,,,,,,,0.0,TrialProc,ColorList,,,,,,,0.0,{button2},9.0,33.0,411169.0,0.0,{Button3},1244.0,Color
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,2,,,,1.0,1.0,1.0,BlockProc,List2,1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,ColorProc,List3,,,,,,,,,3.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,greenstar2.png,5.0,1.0,3.0,,,,{button1},0.0,,,,,,,0.0,TrialProc,ColorList,,,,,,,1.0,{button1},2.0,33.0,414984.0,0.0,{Button1},1013.0,Color
Wisconsin,1174,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">92904618038</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-17T08:36:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1174-2,60.016,1.0.0.250,1,-1582014801,3.0.3.80,3.0.3.80,12-17-2022,12/17/2022 8:36:31 AM,16:36:31,3.0.3.82,2,,,,1.0,1.0,1.0,BlockProc,List2,1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,ColorProc,List3,,,,,,,,,4.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,redcircle3.png,8.0,1.0,4.0,,,,{button3},0.0,,,,,,,0.0,TrialProc,ColorList,,,,,,,0.0,{button3},2.0,33.0,418583.0,0.0,{Button1},1845.0,Color
