ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,List3,List3.Cycle,List3.Sample,Procedure[Block],Running[Block],Trial,CardIMG1[Trial],CardIMG2[Trial],CardIMG3[Trial],CardIMG4[Trial],CardStim[Trial],Category,CorrectAnswer[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,FeedbackDisplay2.RTTime,List2,List2.Cycle,List2.Sample,List4,List4.Cycle,List4.Sample,PracticeList,PracticeList.Cycle,PracticeList.Sample,Procedure[Trial],Running[Trial],Slide5.ACC,Slide5.CRESP,Slide5.DurationError,Slide5.OnsetDelay,Slide5.OnsetTime,Slide5.OnsetToOnsetTime,Slide5.RESP,Slide5.RT,SubTrial,CardIMG1[SubTrial],CardIMG2[SubTrial],CardIMG3[SubTrial],CardIMG4[SubTrial],CardStim[SubTrial],ColorList,ColorList.Cycle,ColorList.Sample,ColorList2,ColorList2.Cycle,ColorList2.Sample,CorrectAnswer[SubTrial],NonPerseverativeError,NumberList,NumberList.Cycle,NumberList.Sample,NumberList1,NumberList1.Cycle,NumberList1.Sample,PerseverativeError,Procedure[SubTrial],Running[SubTrial],ShapeList,ShapeList.Cycle,ShapeList.Sample,ShapeList1,ShapeList1.Cycle,ShapeList1.Sample,Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,TrialType
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,1,Button1.png,Button2.png,Button3.png,Button4.png,Greencircle3.png,顏色,z,0.0,,0.0,21.0,123637.0,0.0,,0.0,0.0,,,,,,,1.0,1.0,1.0,PracticeTrialProc,PracticeList,1.0,z,0.0,1.0,119835.0,0.0,z,3781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,2,Button1.png,Button2.png,Button3.png,Button4.png,Redstar2.png,顏色,c,0.0,,0.0,21.0,131210.0,0.0,,0.0,0.0,,,,,,,2.0,1.0,2.0,PracticeTrialProc,PracticeList,0.0,c,0.0,0.0,126189.0,5021.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,3,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle1.png,形狀,x,0.0,,0.0,21.0,138782.0,0.0,,0.0,0.0,,,,,,,3.0,1.0,3.0,PracticeTrialProc,PracticeList,0.0,x,1.0,0.0,133761.0,5021.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,4,Button1.png,Button2.png,Button3.png,Button4.png,greenstar2.png,形狀,v,0.0,,0.0,21.0,146004.0,0.0,,0.0,0.0,,,,,,,4.0,1.0,4.0,PracticeTrialProc,PracticeList,1.0,v,0.0,1.0,141334.0,0.0,v,4649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,5,Button1.png,Button2.png,Button3.png,Button4.png,BlueCross4.png,數目,x,0.0,,0.0,19.0,152242.0,0.0,,0.0,0.0,,,,,,,5.0,1.0,5.0,PracticeTrialProc,PracticeList,1.0,x,0.0,1.0,148556.0,0.0,x,3666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,6,Button1.png,Button2.png,Button3.png,Button4.png,yellowcircle2.png,數目,z,0.0,,0.0,21.0,159814.0,0.0,,0.0,0.0,,,,,,,6.0,1.0,6.0,PracticeTrialProc,PracticeList,0.0,z,0.0,0.0,154793.0,5021.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,ShapeProc2,List4,,,,,,,,,1.0,Button1.png,Button2.png,Button3.png,Button4.png,Yellowstar2.png,,,,,,,v,1.0,,,,,,,0.0,TrialProc,ShapeList1,,,,9.0,1.0,1.0,0.0,v,0.0,1.0,164267.0,0.0,x,8738.0,Shape
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,ShapeProc2,List4,,,,,,,,,2.0,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle2.png,,,,,,,x,0.0,,,,,,,0.0,TrialProc,ShapeList1,,,,2.0,1.0,2.0,1.0,x,0.0,1.0,175542.0,0.0,x,6407.0,Shape
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,ShapeProc2,List4,,,,,,,,,3.0,Button1.png,Button2.png,Button3.png,Button4.png,redcircle1.png,,,,,,,z,0.0,,,,,,,0.0,TrialProc,ShapeList1,,,,4.0,1.0,3.0,1.0,z,0.0,1.0,184482.0,0.0,z,8090.0,Shape
Wisconsin,1175,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">18764033771</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-01T08:08:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1175-1,59.957,1.0.0.541,1,1584726070,2.0.10.356,2.0.10.356,12-01-2022,12/1/2022 8:08:50 AM,16:08:50,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,ShapeProc2,List4,,,,,,,,,4.0,Button1.png,Button2.png,Button3.png,Button4.png,Redcross2.png,,,,,,,c,0.0,,,,,,,0.0,TrialProc,ShapeList1,,,,5.0,1.0,4.0,1.0,c,0.0,1.0,195106.0,0.0,c,7929.0,Shape
