ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	List3	List3.Cycle	List3.Sample	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	List2	List2.Cycle	List2.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide5.ACC	Slide5.CRESP	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList1	NumberList1.Cycle	NumberList1.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList1	ShapeList1.Cycle	ShapeList1.Sample	Stimulus.ACC	Stimulus.CRESP	Stimulus.DurationError	Stimulus.OnsetDelay	Stimulus.OnsetTime	Stimulus.OnsetToOnsetTime	Stimulus.RESP	Stimulus.RT	TrialType
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	1	1	1	1				Practicebloc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	z	0		0	17	49180	0		0	0							1	1	1	PracticeTrialProc	PracticeList	1	z	0	0	48196	0	z	963																																						
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	1	1	1	1				Practicebloc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	c	0		0	22	52783	0		0	0							2	1	2	PracticeTrialProc	PracticeList	0	c	0	1	51732	0	z	1027																																						
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	1	1	1	1				Practicebloc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	x	0		0	16	57386	0		0	0							3	1	3	PracticeTrialProc	PracticeList	1	x	0	1	55335	0	x	2031																																						
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	1	1	1	1				Practicebloc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	v	0		0	25	62707	0		0	0							4	1	4	PracticeTrialProc	PracticeList	1	v	0	1	59938	0	v	2740																																						
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	1	1	1	1				Practicebloc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	數目	x	0		0	21	68494	0		0	0							5	1	5	PracticeTrialProc	PracticeList	0	x	0	1	65259	0	c	3211																																						
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	1	1	1	1				Practicebloc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	數目	z	0		0	15	72664	0		0	0							6	1	6	PracticeTrialProc	PracticeList	1	z	0	1	71046	0	z	1600																																						
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									1	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	bluecross1.png				1	1	1	v	0							0	TrialProc	ColorList2							1	v	0	1	184862	0	v	1697	color
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									2	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greenstar4.png				5	1	2	z	1							0	TrialProc	ColorList2							0	z	0	1	189099	0	x	1236	color
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									3	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	Greencircle1.png				3	1	3	z	0							0	TrialProc	ColorList2							1	z	0	1	192868	0	z	955	color
Wisconsin	1154	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">28685016228</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-02-11T09:00:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1154-4	59.957	1.0.0.563	1	-1379182243	Professional	2.0.10.356	2.0.10.356	02-11-2023	2/11/2023 9:00:19 AM	17:00:19	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									4	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greentriangle2.png				6	1	4	z	1							0	TrialProc	ColorList2							0	z	0	1	196354	0	x	1516	color
